"Notes: Labor-intensive crafts, tools, armor, weapons, cooked goods, jewelry. The Empire only buys unused goods. The Empire only buys Perfect Bread. Tools equal to ingot component when applicable. The Empire does not care for your stone tools. Weapons equal to ingot component when applicable. The empire does not buy common tools and armor. 
",TITLE,COUNT,Base Value (Copper Sovereigns),Base Uncommon Value (Copper Sovereigns),03/01/2026 VALUE,Current Uncommon Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,Base Rare Value (Copper Sovereigns),03/01/2026 VALUE,Current Rare Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,Base Epic Value (Copper Sovereigns),03/01/2026 VALUE,Current Epic Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,Base Legendary Value (Copper Sovereigns),03/01/2026 VALUE,Current Legendary Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change
AR144,Maple Syrup,50L,60,63,63,63,41,32,72,76,69,76,,0.00%,69,69,70,46,35,81,84,77,84,,1.45%,75,75,78,51,39,90,94,86,94,,4.00%,81,81,87,57,44,100,104,96,104,,7.41%
AR145,Meaty Trail Mix,16,6,7,7,7,5,4,8,8,8,8,,0.00%,7,7,8,5,4,9,10,9,10,,14.29%,8,8,8,5,4,9,10,9,10,,0.00%,9,9,9,6,5,10,11,10,11,,0.00%
AR146,Nutty Trail Mix,16,7,8,8,8,5,4,9,10,9,10,,0.00%,9,9,9,6,5,10,11,10,11,,0.00%,9,9,9,6,5,10,11,10,11,,0.00%,10,10,11,7,6,13,13,12,13,,10.00%
AR147,Peanut Butter,50L,100,105,105,108,70,54,124,130,119,130,,2.86%,115,115,126,82,63,145,151,139,151,,9.57%,125,125,127,83,64,146,152,140,152,,1.60%,135,135,137,89,69,158,164,151,164,,1.48%
AR148,Pickled Fruit,1,3,4,4,4,3,2,5,5,4,5,,0.00%,4,4,4,3,2,5,5,4,5,,0.00%,4,4,4,3,2,5,5,4,5,,0.00%,5,5,5,3,3,6,6,6,6,,0.00%
AR149,Pickled Vegetable,1,2,3,3,3,2,2,3,4,3,4,,0.00%,3,3,3,2,2,3,4,3,4,,0.00%,3,3,3,2,2,3,4,3,4,,0.00%,3,3,3,2,2,3,4,3,4,,0.00%
AR150,Seed Oil,50L,50,53,53,58,38,29,67,70,64,70,,9.43%,58,58,62,40,31,71,74,68,74,,6.90%,63,63,65,42,33,75,78,72,78,,3.17%,68,68,71,46,36,82,85,78,85,,4.41%
AR151,Soy Sauce ,50L,80,84,84,86,56,43,99,103,95,103,,2.38%,92,92,97,63,49,112,116,107,116,,5.43%,100,100,101,66,51,116,121,111,121,,1.00%,108,108,114,74,57,131,137,125,137,,5.56%
AR152,Vegetable Gelatin,32,3,4,4,4,3,2,5,5,4,5,,0.00%,4,4,4,3,2,5,5,4,5,,0.00%,4,4,4,3,2,5,5,4,5,,0.00%,5,5,5,3,3,6,6,6,6,,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Item ID,Clothing,Count,Base Value (Copper Soverigns),Base Uncommon Value (Copper Sovereigns),03/01/2026 VALUE,Current Uncommon Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,Base Rare Value (Copper Sovereigns),03/01/2026 VALUE,Current Rare Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,Base Epic Value (Copper Sovereigns),03/01/2026 VALUE,Current Epic Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,Base Legendary Value (Copper Sovereigns),03/01/2026 VALUE,Current Legendary Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change
AR285,Sash,1,10,11,11,12,8,6,14,14,13,14,,9.09%,12,12,13,8,7,15,16,14,16,,8.33%,13,13,14,9,7,16,17,15,17,,7.69%,14,14,14,9,7,16,17,15,17,,0.00%
AR286,Pants,1,12,13,13,13,8,7,15,16,14,16,,0.00%,14,14,14,9,7,16,17,15,17,,0.00%,15,15,16,10,8,18,19,18,19,,6.67%,17,17,18,12,9,21,22,20,22,,5.88%
AR287,Shoes,1,15,16,16,17,11,9,20,20,19,20,,6.25%,18,18,18,12,9,21,22,20,22,,0.00%,19,19,20,13,10,23,24,22,24,,5.26%,21,21,22,14,11,25,26,24,26,,4.76%
AR288,Mask,1,4,5,5,5,3,3,6,6,6,6,,0.00%,5,5,5,3,3,6,6,6,6,,0.00%,5,5,5,3,3,6,6,6,6,,0.00%,6,6,6,4,3,7,7,7,7,,0.00%
AR289,Belt,1,6,7,7,7,5,4,8,8,8,8,,0.00%,7,7,8,5,4,9,10,9,10,,14.29%,8,8,8,5,4,9,10,9,10,,0.00%,9,9,10,7,5,12,12,11,12,,11.11%
AR290,Hat (non bamboo),1,8,9,9,10,7,5,12,12,11,12,,11.11%,10,10,10,7,5,12,12,11,12,,0.00%,10,10,11,7,6,13,13,12,13,,10.00%,11,11,12,8,6,14,14,13,14,,9.09%
AR291,Shirt,1,12,13,13,14,9,7,16,17,15,17,,7.69%,14,14,15,10,8,17,18,17,18,,7.14%,15,15,16,10,8,18,19,18,19,,6.67%,17,17,18,12,9,21,22,20,22,,5.88%
AR292,Jacket,1,15,16,16,17,11,9,20,20,19,20,,6.25%,18,18,19,12,10,22,23,21,23,,5.56%,19,19,20,13,10,23,24,22,24,,5.26%,21,21,22,14,11,25,26,24,26,,4.76%
AR293,Gloves,1,8,9,9,10,7,5,12,12,11,12,,11.11%,10,10,11,7,6,13,13,12,13,,10.00%,10,10,11,7,6,13,13,12,13,,10.00%,11,11,11,7,6,13,13,12,13,,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item ID,Drugs & Medicinal (NO REED POULTICES),Count,Base Value (Copper Soverigns),N/A,03/01/2026 VALUE,Current Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR294,Pipeleaf Blend,1,6,NA,6,9,6,5,10,11,10,11,,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR295,Flower Shag,32,3,NA,3,4,3,2,5,5,4,5,,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR296,Horsetail Poultice,4,3,NA,3,4,3,2,5,5,4,5,,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR297,Honey Sulfur Poultice,4,2,NA,2,3,2,2,3,4,3,4,,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR298,Honey Pepper Poultice,4,2,NA,2,3,2,2,3,4,3,4,,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR299,Ivy Vinegar Poultice ,4,2,NA,2,4,3,2,5,5,4,5,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR300,Resin Elder Poultice,4,2,NA,2,3,2,2,3,4,3,4,,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR301,Falseorange Poultice,4,2,NA,2,4,3,2,5,5,4,5,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR302,Snowberry Poultice,4,2,NA,2,5,3,3,6,6,6,6,,150.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR303,Byrony Poultice,4,2,NA,2,3,2,2,3,4,3,4,,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR304,Baneberry Poultice,4,2,NA,2,3,2,2,3,4,3,4,,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR305,Bearberry Poultice,4,2,NA,2,4,3,2,5,5,4,5,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR306,Smelling Salt,1,2,NA,2,5,3,3,6,6,6,6,,150.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item ID,Transport,Count,Base Value (Copper Sovereigns),N/A,03/01/2026 VALUE,Current Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR307,Canoe (Was a boat),1,60,NA,60,20,13,10,23,24,22,24,,-66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR308,Wide Cart,1,70,NA,70,78,51,39,90,94,86,94,,11.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR309,Narrow Cart,1,65,NA,65,55,36,28,63,66,61,66,,-15.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR310,Saddle,1,90,NA,90,95,62,48,109,114,105,114,,5.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR311,Medallion,1,7,NA,7,7,5,4,8,8,8,8,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item ID,"Alcohol (Note: for every +1 age of alcohol, the price increases by 25 copper) (BRING YOUR OWN BARRELL)",Count,Base Value (Copper Sovereigns),N/A,03/01/2026 VALUE,Current Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR312,Ales (Per barrel) (Limit 25),50L,20,NA,20,30,20,15,35,36,33,36,,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR313,Brandy (Per barrel),50L,250,NA,250,300,195,150,345,360,330,360,,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR314,HoneyJack (Per barrel),50L,90,NA,90,150,98,75,173,180,165,180,,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR315,Mead (Per barrel),50L,40,NA,40,70,46,35,81,84,77,84,,75.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR316,Sake / Whiskey (Per barrel),50L,140,NA,140,90,59,45,104,108,99,108,,-35.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR317,Cassava Vodka (Per barrel),50L,135,NA,135,110,72,55,127,132,121,132,,-18.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR318,Breadfruit Vodka (Per barrel),50L,120,NA,120,120,78,60,138,144,132,144,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR319,Wines/Cider (Per barrel) (Limit 25),50L,30,NA,30,15,10,8,17,18,17,18,,-50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item ID,Other,Count,Base Value (Copper Sovereigns),N/A,03/01/2026 VALUE,Current Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR320,Ore Blasting Bomb,4,2,NA,2,2,1,1,2,2,2,2,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR321,Stone Blasting Bomb,4,3,NA,3,3,2,2,3,4,3,4,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR322,Scrap Bomb,4,6,NA,6,6,4,3,7,7,7,7,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR323,Rock Blasting Bomb,8,3,NA,3,3,2,2,3,4,3,4,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR324,Fruitpress,1,5,NA,5,5,3,3,6,6,6,6,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item ID,Crafting Goods,Count,Base Value (Copper Sovereigns),N/A,03/01/2026 VALUE,Current Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR325,Leather,64,64,NA,64,64,42,32,74,77,70,77,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR326,Vessels (Pottery Unique),1,10,NA,10,10,7,5,12,12,11,12,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR327,Armor Tailoring Kit,1,5,NA,5,5,3,3,6,6,6,6,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR328,Sewing Kit,1,4,NA,4,4,3,2,5,5,4,5,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR329,Glass,8,4,NA,4,6,4,3,7,7,7,7,,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR330,Empty Book,1,13,NA,13,8,5,4,9,10,9,10,,-38.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR331,"Twine (Processed, not flax fibers) (NOT BUYING)",128,1,NA,1,25,16,13,29,30,28,30,,2400.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR332,Linen / Cloth,32,32,NA,32,30,20,15,35,36,33,36,,-6.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR333,Regular Candles,32,9,NA,9,9,6,5,10,11,10,11,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR334,"Regular Candles, Colored Flames",32,11,NA,11,11,7,6,13,13,12,13,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR335,Dyed Candles,32,13,NA,13,13,8,7,15,16,14,16,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR336,"Dyed Candles, Colored Flames",32,15,NA,15,15,10,8,17,18,17,18,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tier 1 Dyes,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR337,"Yellow, Green, Gray",50 Liters,10,NA,10,10,7,5,12,12,11,12,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tier 2 Dyes,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR338,"Red, Blue, Orange, Purple, Pink, Black, Spindle Red, Woad Blue, Teal, Lime",50 Liters,14,NA,14,14,9,7,16,17,15,17,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tier 3 Dyes,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR339,"White, Brown, Mint, Sky Blue, Lavender",50 Liters,18,NA,18,18,12,9,21,22,20,22,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR340,Quicklime,10,3,NA,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
